date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:13	33594/33594	---M-Z	200	added ('OK')	text/html	etag:%22e63e68-833a-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/badge.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/badge.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:13	31253/31253	---M-Z	200	added ('OK')	text/html	etag:%22e63e6d-7a15-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/breadcrumb.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/breadcrumb.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:13	37199/37199	---M-Z	200	added ('OK')	text/html	etag:%22e63e6e-914f-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/buttons.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/buttons.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:13	33381/33381	---M-Z	200	added ('OK')	text/html	etag:%22e63e7a-8265-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/collapse.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/collapse.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:14	49028/49028	---M-Z	200	added ('OK')	text/html	etag:%22e63e7e-bf84-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/dropdown.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/dropdown.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:14	55443/55443	---M-Z	200	added ('OK')	text/html	etag:%22e63e79-d893-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/checkbox-and-radio.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/checkbox-and-radio.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:14	36481/36481	---M-Z	200	added ('OK')	text/html	etag:%22e63e9c-8e81-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/list-group.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/list-group.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:15	34159/34159	---M-Z	200	added ('OK')	text/html	etag:%22e63e9d-856f-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/media-object.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/media-object.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:15	30821/30821	---M-Z	200	added ('OK')	text/html	etag:%22e63ea0-7865-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/navbar.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/navbar.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
09:21:15	33235/33235	---M-Z	200	added ('OK')	text/html	etag:%22e63ea1-81d3-5a7aefc80c980-gzip%22	http://radixtouch.in/templates/snkthemes/grexsan/source/light/pagination.html	F:/Template-2020/admin-5/radixtouch.in/templates/snkthemes/grexsan/source/light/pagination.html	(from http://radixtouch.in/templates/snkthemes/grexsan/source/light/index.html)
